supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x61705ab3e4f1948216f1127cf5209f60006aab5d,1643446539,1670838479,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,self,self,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,506,456,176,97,3,43,57,0.0494071146245059
0x627b7d1cc004878429f2d9cde7d6e6d3b2c32909,1549446057,1584108229,0x5a3bd3dc302692f934ab693a68c314833d0cfe72,self,self,0x526afe8e3a1ac3e9051daf3f3e11eea1974bf8e8,451,1544,1189,96,4,42,58,1.104212860310421
0x65990569e90206324999e8f0e0d024760fe9be35,1670585507,1674570083,0x6db1a06fd393e83200f3c30ccd0fa8cf4eb51a9c,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,3,142,0,3,1,0,0,15.0
0x5a910da75e5ca6aabd26078aa3c65fa9677a18a0,1672270835,1682771603,0x36e291a6d03d11243ed593642415e30a68cd6c7b,self,self,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,29,122,89,29,15,1,1,3.7586206896551726
0x648e7865bdfac56c0233a9999206867725ece54d,1636541278,1652776811,0x39efaddf53eccd8a43ce597bfcb060e06bd053c1,self,self,0x7f268357a8c2552623316e2562d90e642bb538e5,331,536,522,91,9,21,23,0.6163141993957704
0xc9309b9f41a30817b6ef8d34e8f2f22ab0fb55b6,1633224764,1674586187,0x3cd751e6b0078be393132286c442345e5dc49699,self,self,0xc30141b657f4216252dc59af2e7cdb9d8792e1b0,27,574,227,27,4,15,4,17.555555555555557
0xc9b4d1a57adb3d5d45082939d5167afa31b3ac94,1622980001,1677771671,0x9696f59e4d72e237be84ffd425dcad154bf96976,self,self,0x6b91141482b7f63349e09d7b0933d67650990bdb,95,693,693,90,10,24,25,6.71578947368421
0x708f9144a8754a88e07493a1718fcc9eca3115e2,1639923443,1652686487,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,520,497,494,77,23,53,47,0.2115384615384615
0x5ecc25d1f658af69d9b59fcaedb2d9ee38254036,1623786851,1640995074,0x000f422887ea7d370ff31173fd3b46c8f66a5b1c,self,self,0x6ad3dac99c9a4a480748c566ce7b3503506e3d71,475,684,590,86,14,39,61,0.1557894736842105
0x84ad6912f6f75e1e56cf1efd166934537a4fab0a,1653169403,1682676107,0x28c6c06298d514db089934071355e5743bf21d60,self,self,0x9e669c0a6e075f14ba9d9d98c3580ad67e20ec38,34,344,311,34,13,4,2,9.705882352941176
0xd2da41577fa5f61d0563e10ceeeadc23ab2f2cc0,1667415395,1682669255,self,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,self,0x9d90669665607f08005cae4a7098143f554c59ef,72,179,154,72,1,7,6,2.2222222222222223
0x5b987e7d8dfe6e28744bf5390c80e08925d5cab8,1611872697,1656078996,0xd551234ae421e3bcba99a0da6d736074f22192ff,self,self,0xb79e973231c0b6c233f0a8374886a4c1136c70a9,186,822,822,82,18,40,46,0.8655913978494624
0x5c149318e8295f398bb555de04fe8753688782c8,1654260186,1674983927,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,115,331,275,92,8,46,53,1.2173913043478262
0xcc2005844aeabbd4d663f7c45c9bd1369eb062b3,1661653666,1665130595,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0x76f4eed9fe41262669d0250b2a97db79712ad855,759,245,245,87,13,42,58,0.0474308300395256
0x5c78d59664ada88d650a8242bd558b1601de73c6,1665221543,1671992447,0x4ff128ce2cb58a424848303e9a7a6a7e6cf1ca52,self,0x80c67432656d59144ceff962e8faf8926599bcf8,self,134,204,190,72,28,22,22,0.5671641791044776
0x3b0e001bcf77312f39955193fd522cb7b8c3c286,1516373509,1537412632,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,self,0x59aa0e99cbe397dd5f2eb4013de9094f804a4f37,self,352,1927,1895,90,10,23,77,1.4971590909090908
0x89a8ba5e1aa54476a539eaa0ce321763434a6034,1663283783,1670573807,0xf89d7b9c864f589bbf53a82105107622b35eaa40,self,self,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,357,226,221,88,12,57,43,0.0616246498599439
0x494e89061de0133626eacaff7c1f0a4ef611d132,1622078654,1653356841,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,self,238,703,821,67,33,53,47,0.5294117647058824
0xcc917ab28544c80e2f0e8effbd22551a3cb096be,1613021160,1669797071,0x50ca78bd5e54ffb44cf91e5451651c8991c9631f,self,self,0x881d40237659c251811cec9c364ef91dc08d300c,472,808,807,74,26,35,65,0.1334745762711864
0xce634120d290e1cb469193d89396d14c78eef68c,1640664595,1644944187,0x386c4256c9dea0c467869de3f12de88dd2f805b0,self,self,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,691,488,488,88,12,54,46,0.0535455861070911
0x3924695248775657191c77871293caf38e8cd815,1518297118,1682492891,0x564286362092d8e7936f0549571a803b203aaced,self,self,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,45,1905,1945,45,11,27,13,42.68888888888889
0x5dd39a3fc1c33e4411438e79bf86d4fab4f6932f,1549892553,1553887840,0x2df913b7837971a3d7bca66208b0ddf1c01dfe28,self,self,0xe694010c4f1fcd35ebc04ceb60f847caaf2cd6f2,2531,1539,1496,88,12,19,81,0.0193599367838798
